source,target,corr,abs_corr,sign,weight,period
AAPL,ADVANC.BK,0.06739753,0.06739753,+,0.06739753,Pre-Crisis (2019)
AAPL,AMD,0.50244487,0.50244487,+,0.50244487,Pre-Crisis (2019)
AAPL,AMZN,0.571638834,0.571638834,+,0.571638834,Pre-Crisis (2019)
AAPL,AOT.BK,0.164201483,0.164201483,+,0.164201483,Pre-Crisis (2019)
AAPL,BAC,0.432918554,0.432918554,+,0.432918554,Pre-Crisis (2019)
AAPL,BBL.BK,-0.034248414,0.034248414,-,0.034248414,Pre-Crisis (2019)
AAPL,BDMS.BK,0.061565163,0.061565163,+,0.061565163,Pre-Crisis (2019)
AAPL,BTC-USD,-0.100152487,0.100152487,-,0.100152487,Pre-Crisis (2019)
AAPL,CPALL.BK,0.058915141,0.058915141,+,0.058915141,Pre-Crisis (2019)
AAPL,CPN.BK,0.145810483,0.145810483,+,0.145810483,Pre-Crisis (2019)
AAPL,CVX,0.363733497,0.363733497,+,0.363733497,Pre-Crisis (2019)
AAPL,GLD,-0.221266393,0.221266393,-,0.221266393,Pre-Crisis (2019)
AAPL,GOOGL,0.520305801,0.520305801,+,0.520305801,Pre-Crisis (2019)
AAPL,GULF.BK,0.027683013,0.027683013,+,0.027683013,Pre-Crisis (2019)
AAPL,JNJ,0.261641547,0.261641547,+,0.261641547,Pre-Crisis (2019)
AAPL,JPM,0.461665864,0.461665864,+,0.461665864,Pre-Crisis (2019)
AAPL,KBANK.BK,0.037966958,0.037966958,+,0.037966958,Pre-Crisis (2019)
AAPL,KTB.BK,0.10469594,0.10469594,+,0.10469594,Pre-Crisis (2019)
AAPL,META,0.450254859,0.450254859,+,0.450254859,Pre-Crisis (2019)
AAPL,MSFT,0.597140364,0.597140364,+,0.597140364,Pre-Crisis (2019)
AAPL,NVDA,0.585137372,0.585137372,+,0.585137372,Pre-Crisis (2019)
AAPL,PTT.BK,0.165325871,0.165325871,+,0.165325871,Pre-Crisis (2019)
AAPL,PTTEP.BK,0.104732435,0.104732435,+,0.104732435,Pre-Crisis (2019)
AAPL,PTTGC.BK,0.169951572,0.169951572,+,0.169951572,Pre-Crisis (2019)
AAPL,SCB.BK,0.074845341,0.074845341,+,0.074845341,Pre-Crisis (2019)
AAPL,SCC.BK,0.031345921,0.031345921,+,0.031345921,Pre-Crisis (2019)
AAPL,TRUE.BK,-0.006543999,0.006543999,-,0.006543999,Pre-Crisis (2019)
AAPL,TSLA,0.3565723,0.3565723,+,0.3565723,Pre-Crisis (2019)
AAPL,UNH,0.171625557,0.171625557,+,0.171625557,Pre-Crisis (2019)
AAPL,WMT,0.187407204,0.187407204,+,0.187407204,Pre-Crisis (2019)
AAPL,XOM,0.400249241,0.400249241,+,0.400249241,Pre-Crisis (2019)
ADVANC.BK,AMD,0.095406344,0.095406344,+,0.095406344,Pre-Crisis (2019)
ADVANC.BK,AMZN,0.038411157,0.038411157,+,0.038411157,Pre-Crisis (2019)
ADVANC.BK,AOT.BK,0.185881316,0.185881316,+,0.185881316,Pre-Crisis (2019)
ADVANC.BK,BAC,0.070013623,0.070013623,+,0.070013623,Pre-Crisis (2019)
ADVANC.BK,BBL.BK,0.063747514,0.063747514,+,0.063747514,Pre-Crisis (2019)
ADVANC.BK,BDMS.BK,0.134725136,0.134725136,+,0.134725136,Pre-Crisis (2019)
ADVANC.BK,BTC-USD,-0.020690705,0.020690705,-,0.020690705,Pre-Crisis (2019)
ADVANC.BK,CPALL.BK,0.267950172,0.267950172,+,0.267950172,Pre-Crisis (2019)
ADVANC.BK,CPN.BK,0.174909904,0.174909904,+,0.174909904,Pre-Crisis (2019)
ADVANC.BK,CVX,0.042252358,0.042252358,+,0.042252358,Pre-Crisis (2019)
ADVANC.BK,GLD,-0.019314736,0.019314736,-,0.019314736,Pre-Crisis (2019)
ADVANC.BK,GOOGL,0.021339506,0.021339506,+,0.021339506,Pre-Crisis (2019)
ADVANC.BK,GULF.BK,0.206280948,0.206280948,+,0.206280948,Pre-Crisis (2019)
ADVANC.BK,JNJ,0.016141128,0.016141128,+,0.016141128,Pre-Crisis (2019)
ADVANC.BK,JPM,0.048280035,0.048280035,+,0.048280035,Pre-Crisis (2019)
ADVANC.BK,KBANK.BK,0.069852035,0.069852035,+,0.069852035,Pre-Crisis (2019)
ADVANC.BK,KTB.BK,0.12816517,0.12816517,+,0.12816517,Pre-Crisis (2019)
ADVANC.BK,META,0.064253117,0.064253117,+,0.064253117,Pre-Crisis (2019)
ADVANC.BK,MSFT,0.112049635,0.112049635,+,0.112049635,Pre-Crisis (2019)
ADVANC.BK,NVDA,0.148538062,0.148538062,+,0.148538062,Pre-Crisis (2019)
ADVANC.BK,PTT.BK,0.156783363,0.156783363,+,0.156783363,Pre-Crisis (2019)
ADVANC.BK,PTTEP.BK,0.142284601,0.142284601,+,0.142284601,Pre-Crisis (2019)
ADVANC.BK,PTTGC.BK,0.066266704,0.066266704,+,0.066266704,Pre-Crisis (2019)
ADVANC.BK,SCB.BK,0.148743555,0.148743555,+,0.148743555,Pre-Crisis (2019)
ADVANC.BK,SCC.BK,0.12895102,0.12895102,+,0.12895102,Pre-Crisis (2019)
ADVANC.BK,TRUE.BK,0.399580228,0.399580228,+,0.399580228,Pre-Crisis (2019)
ADVANC.BK,TSLA,0.042521796,0.042521796,+,0.042521796,Pre-Crisis (2019)
ADVANC.BK,UNH,0.062906484,0.062906484,+,0.062906484,Pre-Crisis (2019)
ADVANC.BK,WMT,-0.030853173,0.030853173,-,0.030853173,Pre-Crisis (2019)
ADVANC.BK,XOM,0.0726316,0.0726316,+,0.0726316,Pre-Crisis (2019)
AMD,AMZN,0.530498075,0.530498075,+,0.530498075,Pre-Crisis (2019)
AMD,AOT.BK,0.177180086,0.177180086,+,0.177180086,Pre-Crisis (2019)
AMD,BAC,0.366804561,0.366804561,+,0.366804561,Pre-Crisis (2019)
AMD,BBL.BK,-0.025706527,0.025706527,-,0.025706527,Pre-Crisis (2019)
AMD,BDMS.BK,0.142205739,0.142205739,+,0.142205739,Pre-Crisis (2019)
AMD,BTC-USD,-0.020251871,0.020251871,-,0.020251871,Pre-Crisis (2019)
AMD,CPALL.BK,0.210238636,0.210238636,+,0.210238636,Pre-Crisis (2019)
AMD,CPN.BK,0.155472905,0.155472905,+,0.155472905,Pre-Crisis (2019)
AMD,CVX,0.41342021,0.41342021,+,0.41342021,Pre-Crisis (2019)
AMD,GLD,-0.103722199,0.103722199,-,0.103722199,Pre-Crisis (2019)
AMD,GOOGL,0.385606345,0.385606345,+,0.385606345,Pre-Crisis (2019)
AMD,GULF.BK,0.142894647,0.142894647,+,0.142894647,Pre-Crisis (2019)
AMD,JNJ,0.258734235,0.258734235,+,0.258734235,Pre-Crisis (2019)
AMD,JPM,0.382110278,0.382110278,+,0.382110278,Pre-Crisis (2019)
AMD,KBANK.BK,0.012269419,0.012269419,+,0.012269419,Pre-Crisis (2019)
AMD,KTB.BK,0.080453123,0.080453123,+,0.080453123,Pre-Crisis (2019)
AMD,META,0.367224053,0.367224053,+,0.367224053,Pre-Crisis (2019)
AMD,MSFT,0.522317294,0.522317294,+,0.522317294,Pre-Crisis (2019)
AMD,NVDA,0.646573789,0.646573789,+,0.646573789,Pre-Crisis (2019)
AMD,PTT.BK,0.171915593,0.171915593,+,0.171915593,Pre-Crisis (2019)
AMD,PTTEP.BK,0.152340582,0.152340582,+,0.152340582,Pre-Crisis (2019)
AMD,PTTGC.BK,0.126358799,0.126358799,+,0.126358799,Pre-Crisis (2019)
AMD,SCB.BK,0.034636039,0.034636039,+,0.034636039,Pre-Crisis (2019)
AMD,SCC.BK,0.041232891,0.041232891,+,0.041232891,Pre-Crisis (2019)
AMD,TRUE.BK,0.10486921,0.10486921,+,0.10486921,Pre-Crisis (2019)
AMD,TSLA,0.257912,0.257912,+,0.257912,Pre-Crisis (2019)
AMD,UNH,0.183002651,0.183002651,+,0.183002651,Pre-Crisis (2019)
AMD,WMT,0.157390868,0.157390868,+,0.157390868,Pre-Crisis (2019)
AMD,XOM,0.377982617,0.377982617,+,0.377982617,Pre-Crisis (2019)
AMZN,AOT.BK,0.10578006,0.10578006,+,0.10578006,Pre-Crisis (2019)
AMZN,BAC,0.350319226,0.350319226,+,0.350319226,Pre-Crisis (2019)
AMZN,BBL.BK,0.025616941,0.025616941,+,0.025616941,Pre-Crisis (2019)
AMZN,BDMS.BK,0.044605634,0.044605634,+,0.044605634,Pre-Crisis (2019)
AMZN,BTC-USD,-0.001514604,0.001514604,-,0.001514604,Pre-Crisis (2019)
AMZN,CPALL.BK,0.130002105,0.130002105,+,0.130002105,Pre-Crisis (2019)
AMZN,CPN.BK,0.111781448,0.111781448,+,0.111781448,Pre-Crisis (2019)
AMZN,CVX,0.345127366,0.345127366,+,0.345127366,Pre-Crisis (2019)
AMZN,GLD,-0.172231875,0.172231875,-,0.172231875,Pre-Crisis (2019)
AMZN,GOOGL,0.609990333,0.609990333,+,0.609990333,Pre-Crisis (2019)
AMZN,GULF.BK,-0.00172166,0.00172166,-,0.00172166,Pre-Crisis (2019)
AMZN,JNJ,0.260455513,0.260455513,+,0.260455513,Pre-Crisis (2019)
AMZN,JPM,0.400389549,0.400389549,+,0.400389549,Pre-Crisis (2019)
AMZN,KBANK.BK,0.074252027,0.074252027,+,0.074252027,Pre-Crisis (2019)
AMZN,KTB.BK,0.132087045,0.132087045,+,0.132087045,Pre-Crisis (2019)
AMZN,META,0.610206506,0.610206506,+,0.610206506,Pre-Crisis (2019)
AMZN,MSFT,0.706901283,0.706901283,+,0.706901283,Pre-Crisis (2019)
AMZN,NVDA,0.537802211,0.537802211,+,0.537802211,Pre-Crisis (2019)
AMZN,PTT.BK,0.094792375,0.094792375,+,0.094792375,Pre-Crisis (2019)
AMZN,PTTEP.BK,0.119760566,0.119760566,+,0.119760566,Pre-Crisis (2019)
AMZN,PTTGC.BK,0.101735293,0.101735293,+,0.101735293,Pre-Crisis (2019)
AMZN,SCB.BK,0.040285285,0.040285285,+,0.040285285,Pre-Crisis (2019)
AMZN,SCC.BK,0.028386977,0.028386977,+,0.028386977,Pre-Crisis (2019)
AMZN,TRUE.BK,0.005086886,0.005086886,+,0.005086886,Pre-Crisis (2019)
AMZN,TSLA,0.248542568,0.248542568,+,0.248542568,Pre-Crisis (2019)
AMZN,UNH,0.209065015,0.209065015,+,0.209065015,Pre-Crisis (2019)
AMZN,WMT,0.322465981,0.322465981,+,0.322465981,Pre-Crisis (2019)
AMZN,XOM,0.35325749,0.35325749,+,0.35325749,Pre-Crisis (2019)
AOT.BK,BAC,0.172131919,0.172131919,+,0.172131919,Pre-Crisis (2019)
AOT.BK,BBL.BK,0.003807334,0.003807334,+,0.003807334,Pre-Crisis (2019)
AOT.BK,BDMS.BK,0.081642983,0.081642983,+,0.081642983,Pre-Crisis (2019)
AOT.BK,BTC-USD,0.004989733,0.004989733,+,0.004989733,Pre-Crisis (2019)
AOT.BK,CPALL.BK,0.27831332,0.27831332,+,0.27831332,Pre-Crisis (2019)
AOT.BK,CPN.BK,0.376932242,0.376932242,+,0.376932242,Pre-Crisis (2019)
AOT.BK,CVX,0.116467629,0.116467629,+,0.116467629,Pre-Crisis (2019)
AOT.BK,GLD,0.019896238,0.019896238,+,0.019896238,Pre-Crisis (2019)
AOT.BK,GOOGL,0.078654417,0.078654417,+,0.078654417,Pre-Crisis (2019)
AOT.BK,GULF.BK,0.28009176,0.28009176,+,0.28009176,Pre-Crisis (2019)
AOT.BK,JNJ,0.091527331,0.091527331,+,0.091527331,Pre-Crisis (2019)
AOT.BK,JPM,0.092070926,0.092070926,+,0.092070926,Pre-Crisis (2019)
AOT.BK,KBANK.BK,0.060275859,0.060275859,+,0.060275859,Pre-Crisis (2019)
AOT.BK,KTB.BK,0.117561053,0.117561053,+,0.117561053,Pre-Crisis (2019)
AOT.BK,META,0.09410641,0.09410641,+,0.09410641,Pre-Crisis (2019)
AOT.BK,MSFT,0.164148029,0.164148029,+,0.164148029,Pre-Crisis (2019)
AOT.BK,NVDA,0.183817423,0.183817423,+,0.183817423,Pre-Crisis (2019)
AOT.BK,PTT.BK,0.35321179,0.35321179,+,0.35321179,Pre-Crisis (2019)
AOT.BK,PTTEP.BK,0.265348687,0.265348687,+,0.265348687,Pre-Crisis (2019)
AOT.BK,PTTGC.BK,0.259929556,0.259929556,+,0.259929556,Pre-Crisis (2019)
AOT.BK,SCB.BK,0.041225367,0.041225367,+,0.041225367,Pre-Crisis (2019)
AOT.BK,SCC.BK,0.210936588,0.210936588,+,0.210936588,Pre-Crisis (2019)
AOT.BK,TRUE.BK,0.171271418,0.171271418,+,0.171271418,Pre-Crisis (2019)
AOT.BK,TSLA,0.080116757,0.080116757,+,0.080116757,Pre-Crisis (2019)
AOT.BK,UNH,0.108419025,0.108419025,+,0.108419025,Pre-Crisis (2019)
AOT.BK,WMT,0.031478826,0.031478826,+,0.031478826,Pre-Crisis (2019)
AOT.BK,XOM,0.114685736,0.114685736,+,0.114685736,Pre-Crisis (2019)
BAC,BBL.BK,0.066261006,0.066261006,+,0.066261006,Pre-Crisis (2019)
BAC,BDMS.BK,0.173509766,0.173509766,+,0.173509766,Pre-Crisis (2019)
BAC,BTC-USD,-0.112459718,0.112459718,-,0.112459718,Pre-Crisis (2019)
BAC,CPALL.BK,0.177863993,0.177863993,+,0.177863993,Pre-Crisis (2019)
BAC,CPN.BK,0.186817416,0.186817416,+,0.186817416,Pre-Crisis (2019)
BAC,CVX,0.426231543,0.426231543,+,0.426231543,Pre-Crisis (2019)
BAC,GLD,-0.354976166,0.354976166,-,0.354976166,Pre-Crisis (2019)
BAC,GOOGL,0.343368106,0.343368106,+,0.343368106,Pre-Crisis (2019)
BAC,GULF.BK,0.052010589,0.052010589,+,0.052010589,Pre-Crisis (2019)
BAC,JNJ,0.155420332,0.155420332,+,0.155420332,Pre-Crisis (2019)
BAC,JPM,0.864053196,0.864053196,+,0.864053196,Pre-Crisis (2019)
BAC,KBANK.BK,0.13010041,0.13010041,+,0.13010041,Pre-Crisis (2019)
BAC,KTB.BK,0.102139401,0.102139401,+,0.102139401,Pre-Crisis (2019)
BAC,META,0.223202811,0.223202811,+,0.223202811,Pre-Crisis (2019)
BAC,MSFT,0.417188936,0.417188936,+,0.417188936,Pre-Crisis (2019)
BAC,NVDA,0.474675148,0.474675148,+,0.474675148,Pre-Crisis (2019)
BAC,PTT.BK,0.164472023,0.164472023,+,0.164472023,Pre-Crisis (2019)
BAC,PTTEP.BK,0.088046455,0.088046455,+,0.088046455,Pre-Crisis (2019)
BAC,PTTGC.BK,0.117810884,0.117810884,+,0.117810884,Pre-Crisis (2019)
BAC,SCB.BK,0.111505046,0.111505046,+,0.111505046,Pre-Crisis (2019)
BAC,SCC.BK,0.106066834,0.106066834,+,0.106066834,Pre-Crisis (2019)
BAC,TRUE.BK,0.004509678,0.004509678,+,0.004509678,Pre-Crisis (2019)
BAC,TSLA,0.280765904,0.280765904,+,0.280765904,Pre-Crisis (2019)
BAC,UNH,0.251541571,0.251541571,+,0.251541571,Pre-Crisis (2019)
BAC,WMT,0.285098908,0.285098908,+,0.285098908,Pre-Crisis (2019)
BAC,XOM,0.524095114,0.524095114,+,0.524095114,Pre-Crisis (2019)
BBL.BK,BDMS.BK,-0.053667626,0.053667626,-,0.053667626,Pre-Crisis (2019)
BBL.BK,BTC-USD,0.031971173,0.031971173,+,0.031971173,Pre-Crisis (2019)
BBL.BK,CPALL.BK,0.137309544,0.137309544,+,0.137309544,Pre-Crisis (2019)
BBL.BK,CPN.BK,0.144728402,0.144728402,+,0.144728402,Pre-Crisis (2019)
BBL.BK,CVX,0.003668609,0.003668609,+,0.003668609,Pre-Crisis (2019)
BBL.BK,GLD,-0.083249208,0.083249208,-,0.083249208,Pre-Crisis (2019)
BBL.BK,GOOGL,-0.055492007,0.055492007,-,0.055492007,Pre-Crisis (2019)
BBL.BK,GULF.BK,-0.058993388,0.058993388,-,0.058993388,Pre-Crisis (2019)
BBL.BK,JNJ,0.078910619,0.078910619,+,0.078910619,Pre-Crisis (2019)
BBL.BK,JPM,0.07383585,0.07383585,+,0.07383585,Pre-Crisis (2019)
BBL.BK,KBANK.BK,0.465113519,0.465113519,+,0.465113519,Pre-Crisis (2019)
BBL.BK,KTB.BK,0.326441129,0.326441129,+,0.326441129,Pre-Crisis (2019)
BBL.BK,META,0.047812328,0.047812328,+,0.047812328,Pre-Crisis (2019)
BBL.BK,MSFT,-0.06816884,0.06816884,-,0.06816884,Pre-Crisis (2019)
BBL.BK,NVDA,0.039895277,0.039895277,+,0.039895277,Pre-Crisis (2019)
BBL.BK,PTT.BK,0.072664108,0.072664108,+,0.072664108,Pre-Crisis (2019)
BBL.BK,PTTEP.BK,0.099859474,0.099859474,+,0.099859474,Pre-Crisis (2019)
BBL.BK,PTTGC.BK,0.101294584,0.101294584,+,0.101294584,Pre-Crisis (2019)
BBL.BK,SCB.BK,0.338078893,0.338078893,+,0.338078893,Pre-Crisis (2019)
BBL.BK,SCC.BK,0.199222489,0.199222489,+,0.199222489,Pre-Crisis (2019)
BBL.BK,TRUE.BK,0.099148218,0.099148218,+,0.099148218,Pre-Crisis (2019)
BBL.BK,TSLA,-0.025151413,0.025151413,-,0.025151413,Pre-Crisis (2019)
BBL.BK,UNH,0.04736409,0.04736409,+,0.04736409,Pre-Crisis (2019)
BBL.BK,WMT,0.076811547,0.076811547,+,0.076811547,Pre-Crisis (2019)
BBL.BK,XOM,0.02675511,0.02675511,+,0.02675511,Pre-Crisis (2019)
BDMS.BK,BTC-USD,-0.026918283,0.026918283,-,0.026918283,Pre-Crisis (2019)
BDMS.BK,CPALL.BK,0.223488,0.223488,+,0.223488,Pre-Crisis (2019)
BDMS.BK,CPN.BK,0.203280503,0.203280503,+,0.203280503,Pre-Crisis (2019)
BDMS.BK,CVX,0.042237653,0.042237653,+,0.042237653,Pre-Crisis (2019)
BDMS.BK,GLD,-0.034538019,0.034538019,-,0.034538019,Pre-Crisis (2019)
BDMS.BK,GOOGL,0.027898255,0.027898255,+,0.027898255,Pre-Crisis (2019)
BDMS.BK,GULF.BK,0.15397272,0.15397272,+,0.15397272,Pre-Crisis (2019)
BDMS.BK,JNJ,0.061124056,0.061124056,+,0.061124056,Pre-Crisis (2019)
BDMS.BK,JPM,0.16376779,0.16376779,+,0.16376779,Pre-Crisis (2019)
BDMS.BK,KBANK.BK,0.124036555,0.124036555,+,0.124036555,Pre-Crisis (2019)
BDMS.BK,KTB.BK,0.12327407,0.12327407,+,0.12327407,Pre-Crisis (2019)
BDMS.BK,META,0.012666607,0.012666607,+,0.012666607,Pre-Crisis (2019)
BDMS.BK,MSFT,0.042544551,0.042544551,+,0.042544551,Pre-Crisis (2019)
BDMS.BK,NVDA,0.115657018,0.115657018,+,0.115657018,Pre-Crisis (2019)
BDMS.BK,PTT.BK,0.127845028,0.127845028,+,0.127845028,Pre-Crisis (2019)
BDMS.BK,PTTEP.BK,0.072381516,0.072381516,+,0.072381516,Pre-Crisis (2019)
BDMS.BK,PTTGC.BK,0.007703949,0.007703949,+,0.007703949,Pre-Crisis (2019)
BDMS.BK,SCB.BK,0.160001411,0.160001411,+,0.160001411,Pre-Crisis (2019)
BDMS.BK,SCC.BK,0.164877693,0.164877693,+,0.164877693,Pre-Crisis (2019)
BDMS.BK,TRUE.BK,0.132969227,0.132969227,+,0.132969227,Pre-Crisis (2019)
BDMS.BK,TSLA,0.051431685,0.051431685,+,0.051431685,Pre-Crisis (2019)
BDMS.BK,UNH,-0.038876842,0.038876842,-,0.038876842,Pre-Crisis (2019)
BDMS.BK,WMT,-0.001564197,0.001564197,-,0.001564197,Pre-Crisis (2019)
BDMS.BK,XOM,0.056476475,0.056476475,+,0.056476475,Pre-Crisis (2019)
BTC-USD,CPALL.BK,-0.032711772,0.032711772,-,0.032711772,Pre-Crisis (2019)
BTC-USD,CPN.BK,-0.047263392,0.047263392,-,0.047263392,Pre-Crisis (2019)
BTC-USD,CVX,0.026332103,0.026332103,+,0.026332103,Pre-Crisis (2019)
BTC-USD,GLD,0.16397708,0.16397708,+,0.16397708,Pre-Crisis (2019)
BTC-USD,GOOGL,-0.048684557,0.048684557,-,0.048684557,Pre-Crisis (2019)
BTC-USD,GULF.BK,0.039903078,0.039903078,+,0.039903078,Pre-Crisis (2019)
BTC-USD,JNJ,-0.054538843,0.054538843,-,0.054538843,Pre-Crisis (2019)
BTC-USD,JPM,-0.103378938,0.103378938,-,0.103378938,Pre-Crisis (2019)
BTC-USD,KBANK.BK,0.050876244,0.050876244,+,0.050876244,Pre-Crisis (2019)
BTC-USD,KTB.BK,-0.072989093,0.072989093,-,0.072989093,Pre-Crisis (2019)
BTC-USD,META,0.071460089,0.071460089,+,0.071460089,Pre-Crisis (2019)
BTC-USD,MSFT,-0.075821454,0.075821454,-,0.075821454,Pre-Crisis (2019)
BTC-USD,NVDA,-0.081462609,0.081462609,-,0.081462609,Pre-Crisis (2019)
BTC-USD,PTT.BK,-0.065826292,0.065826292,-,0.065826292,Pre-Crisis (2019)
BTC-USD,PTTEP.BK,-0.083166464,0.083166464,-,0.083166464,Pre-Crisis (2019)
BTC-USD,PTTGC.BK,-0.021933335,0.021933335,-,0.021933335,Pre-Crisis (2019)
BTC-USD,SCB.BK,0.072432154,0.072432154,+,0.072432154,Pre-Crisis (2019)
BTC-USD,SCC.BK,0.009478823,0.009478823,+,0.009478823,Pre-Crisis (2019)
BTC-USD,TRUE.BK,-0.038248729,0.038248729,-,0.038248729,Pre-Crisis (2019)
BTC-USD,TSLA,-0.007520948,0.007520948,-,0.007520948,Pre-Crisis (2019)
BTC-USD,UNH,-0.065587608,0.065587608,-,0.065587608,Pre-Crisis (2019)
BTC-USD,WMT,-0.091975366,0.091975366,-,0.091975366,Pre-Crisis (2019)
BTC-USD,XOM,-0.000265474,0.000265474,-,0.000265474,Pre-Crisis (2019)
CPALL.BK,CPN.BK,0.364675554,0.364675554,+,0.364675554,Pre-Crisis (2019)
CPALL.BK,CVX,0.164516246,0.164516246,+,0.164516246,Pre-Crisis (2019)
CPALL.BK,GLD,-0.033655169,0.033655169,-,0.033655169,Pre-Crisis (2019)
CPALL.BK,GOOGL,0.0411314,0.0411314,+,0.0411314,Pre-Crisis (2019)
